Serial No,Date,Amount,Category,Description
1,01-01-2021,832.1,Income,Subscriptions
2,01-01-2021,805.94,Income,Shopping
3,01-01-2021,308.53,Income,Internet Bill
4,02-01-2021,101.32,Expense,Bonus
5,02-01-2021,723.71,Expense,Internet Bill
6,03-01-2021,83.12,Income,Bonus
7,03-01-2021,887.69,Expense,Subscriptions
8,03-01-2021,983.77,Income,Rent
9,04-01-2021,997.49,Income,Salary
10,10-1-2021,100.0,Income,Test1.1
11,04-01-2021,92.17,Income,Utilities
12,04-01-2021,826.06,Expense,Interest
13,05-01-2021,734.63,Income,Rent
14,05-01-2021,319.19,Income,Movies
15,05-01-2021,318.99,Expense,Shopping
16,06-01-2021,717.54,Income,Internet Bill
17,07-01-2021,378.29,Expense,Groceries
18,07-01-2021,782.64,Income,Rent
19,07-01-2021,189.22,Income,Interest
20,04-05-2021,100.0,Expense,test 1.4
21,07-01-2021,501.55,Expense,Transport
22,08-01-2021,384.91,Income,Movies
23,08-01-2021,879.78,Expense,Utilities
24,08-01-2021,876.67,Income,Movies
25,09-01-2021,423.28,Expense,Internet Bill
26,09-01-2021,476.87,Expense,Groceries
27,09-01-2021,563.04,Expense,Groceries
28,10-01-2021,676.09,Income,Transport
29,11-01-2021,590.22,Expense,Internet Bill
30,11-01-2021,81.47,Expense,Movies
31,12-01-2021,507.97,Income,Bonus
32,12-01-2021,815.94,Income,Subscriptions
33,12-01-2021,735.53,Income,Car Maintenance
34,12-01-2021,700.28,Expense,Salary
35,12-01-2021,682.33,Expense,Entertainment
36,13-01-2021,943.7,Income,Utilities
37,13-01-2021,632.47,Expense,Groceries
38,13-01-2021,46.69,Expense,Subscriptions
39,13-01-2021,855.56,Income,Internet Bill
40,13-01-2021,616.48,Income,Internet Bill
41,14-01-2021,792.82,Expense,Coffee
42,14-01-2021,159.34,Income,Subscriptions
43,15-01-2021,456.16,Income,Interest
44,15-01-2021,356.57,Income,Car Maintenance
45,15-01-2021,267.48,Income,Bonus
