Serial No,Date,Amount,Category,Description
1,01-01-2021,875.07,Expense,Groceries
2,01-01-2021,832.1,Income,Subscriptions
3,01-01-2021,805.94,Income,Shopping
4,01-01-2021,799.31,Income,Salary
5,01-01-2021,308.53,Income,Internet Bill
6,02-01-2021,101.32,Expense,Bonus
7,02-01-2021,723.71,Expense,Internet Bill
8,03-01-2021,83.12,Income,Bonus
9,03-01-2021,887.69,Expense,Subscriptions
10,03-01-2021,983.77,Income,Rent
11,04-01-2021,688.25,Expense,Freelance
12,04-01-2021,997.49,Income,Salary
13,04-01-2021,945.92,Expense,Rent
14,04-01-2021,92.17,Income,Utilities
15,04-01-2021,826.06,Expense,Interest
16,05-01-2021,144.37,Expense,Bonus
17,05-01-2021,734.63,Income,Rent
18,05-01-2021,319.19,Income,Movies
19,05-01-2021,318.99,Expense,Shopping
20,06-01-2021,717.54,Income,Internet Bill
21,07-01-2021,378.29,Expense,Groceries
22,07-01-2021,782.64,Income,Rent
23,07-01-2021,189.22,Income,Interest
24,07-01-2021,277.12,Expense,Movies
25,07-01-2021,501.55,Expense,Transport
26,08-01-2021,384.91,Income,Movies
27,08-01-2021,879.78,Expense,Utilities
28,08-01-2021,876.67,Income,Movies
29,09-01-2021,423.28,Expense,Internet Bill
30,09-01-2021,476.87,Expense,Groceries
31,09-01-2021,563.04,Expense,Groceries
32,10-01-2021,676.09,Income,Transport
33,11-01-2021,590.22,Expense,Internet Bill
34,11-01-2021,81.47,Expense,Movies
35,12-01-2021,507.97,Income,Bonus
36,12-01-2021,815.94,Income,Subscriptions
37,12-01-2021,735.53,Income,Car Maintenance
38,12-01-2021,700.28,Expense,Salary
39,12-01-2021,682.33,Expense,Entertainment
40,13-01-2021,943.7,Income,Utilities
41,13-01-2021,632.47,Expense,Groceries
42,13-01-2021,46.69,Expense,Subscriptions
43,13-01-2021,855.56,Income,Internet Bill
44,13-01-2021,616.48,Income,Internet Bill
45,14-01-2021,792.82,Expense,Coffee
46,14-01-2021,159.34,Income,Subscriptions
47,15-01-2021,456.16,Income,Interest
48,15-01-2021,356.57,Income,Car Maintenance
49,15-01-2021,267.48,Income,Bonus
50,15-01-2021,165.17,Expense,Dining Out
51,15-01-2021,123.78,Expense,Bonus
52,16-01-2021,29.18,Expense,Freelance
53,16-01-2021,418.62,Income,Movies
54,16-01-2021,38.32,Income,Entertainment
55,17-01-2021,602.16,Expense,Shopping
56,18-01-2021,455.16,Income,Car Maintenance
57,19-01-2021,746.13,Expense,Salary
58,19-01-2021,697.71,Income,Movies
59,19-01-2021,389.71,Expense,Freelance
60,20-01-2021,455.61,Income,Groceries
61,20-01-2021,635.25,Income,Utilities
62,20-01-2021,339.62,Income,Subscriptions
63,21-01-2021,517.95,Income,Freelance
64,21-01-2021,137.21,Expense,Salary
65,21-01-2021,693.88,Expense,Shopping
66,21-01-2021,38.47,Income,Freelance
67,21-01-2021,220.22,Expense,Salary
68,22-01-2021,344.83,Expense,Movies
69,23-01-2021,258.83,Income,Bonus
70,23-01-2021,721.2,Expense,Movies
71,23-01-2021,749.12,Income,Transport
72,23-01-2021,150.66,Income,Internet Bill
73,24-01-2021,990.19,Income,Salary
74,24-01-2021,728.05,Expense,Groceries
75,24-01-2021,360.19,Income,Internet Bill
76,24-01-2021,838.36,Income,Bonus
77,24-01-2021,712.23,Expense,Bonus
78,25-01-2021,589.04,Income,Rent
79,25-01-2021,69.79,Expense,Movies
80,25-01-2021,688.61,Expense,Transport
81,26-01-2021,577.61,Income,Internet Bill
82,26-01-2021,256.47,Expense,Coffee
83,27-01-2021,342.31,Expense,Movies
84,27-01-2021,487.12,Expense,Rent
85,27-01-2021,115.82,Expense,Freelance
86,27-01-2021,964.74,Expense,Rent
87,27-01-2021,700.55,Income,Internet Bill
88,28-01-2021,781.24,Income,Rent
89,28-01-2021,885.86,Expense,Shopping
90,28-01-2021,386.77,Expense,Rent
91,28-01-2021,14.5,Expense,Shopping
92,29-01-2021,904.99,Income,Rent
93,30-01-2021,433.94,Expense,Internet Bill
94,30-01-2021,833.84,Expense,Coffee
95,30-01-2021,948.86,Expense,Rent
96,30-01-2021,219.75,Expense,Utilities
97,31-01-2021,557.39,Income,Transport
98,31-01-2021,427.57,Expense,Shopping
99,31-01-2021,740.67,Expense,Coffee
100,31-01-2021,140.66,Expense,Interest
101,31-01-2021,780.79,Expense,Coffee
102,01-02-2021,836.01,Expense,Shopping
103,01-02-2021,349.8,Expense,Dining Out
104,01-02-2021,590.12,Income,Car Maintenance
105,02-02-2021,952.1,Income,Bonus
106,02-02-2021,263.52,Expense,Transport
107,02-02-2021,776.91,Income,Bonus
108,02-02-2021,478.29,Income,Utilities
109,03-02-2021,576.36,Expense,Dining Out
110,04-02-2021,377.89,Expense,Car Maintenance
111,04-02-2021,451.35,Income,Car Maintenance
112,04-02-2021,375.5,Expense,Movies
113,05-02-2021,926.46,Income,Movies
114,05-02-2021,322.55,Expense,Rent
115,05-02-2021,445.75,Expense,Entertainment
116,06-02-2021,505.67,Income,Salary
117,06-02-2021,71.9,Income,Freelance
118,06-02-2021,827.43,Expense,Internet Bill
119,06-02-2021,22.04,Expense,Utilities
120,06-02-2021,988.51,Income,Coffee
121,07-02-2021,553.02,Expense,Groceries
122,07-02-2021,216.18,Income,Coffee
123,07-02-2021,716.52,Expense,Transport
124,07-02-2021,734.0,Income,Bonus
125,08-02-2021,570.74,Income,Subscriptions
126,08-02-2021,737.83,Expense,Utilities
127,08-02-2021,168.42,Income,Freelance
128,09-02-2021,954.91,Income,Shopping
129,09-02-2021,550.83,Income,Interest
130,09-02-2021,494.44,Expense,Freelance
131,09-02-2021,366.09,Income,Coffee
132,10-02-2021,137.53,Expense,Movies
133,10-02-2021,257.41,Expense,Groceries
134,11-02-2021,109.13,Expense,Groceries
135,11-02-2021,540.34,Expense,Coffee
136,11-02-2021,732.09,Income,Entertainment
137,11-02-2021,245.47,Expense,Coffee
138,12-02-2021,742.8,Expense,Shopping
139,12-02-2021,606.05,Income,Rent
140,12-02-2021,18.99,Expense,Freelance
141,12-02-2021,703.03,Income,Interest
142,12-02-2021,814.24,Income,Salary
143,13-02-2021,671.76,Expense,Internet Bill
144,13-02-2021,862.1,Income,Shopping
145,14-02-2021,461.44,Expense,Interest
146,14-02-2021,653.62,Income,Groceries
147,14-02-2021,831.41,Income,Shopping
148,15-02-2021,234.52,Income,Car Maintenance
149,15-02-2021,790.55,Expense,Interest
150,15-02-2021,871.2,Income,Rent
151,16-02-2021,706.77,Expense,Subscriptions
152,16-02-2021,752.64,Income,Internet Bill
153,17-02-2021,409.14,Income,Interest
154,18-02-2021,228.88,Expense,Interest
155,18-02-2021,797.78,Income,Movies
156,18-02-2021,478.31,Expense,Entertainment
157,19-02-2021,838.07,Expense,Interest
158,19-02-2021,88.4,Income,Bonus
159,20-02-2021,883.05,Income,Rent
160,20-02-2021,183.28,Income,Internet Bill
161,21-02-2021,866.61,Income,Car Maintenance
162,21-02-2021,727.09,Income,Movies
163,22-02-2021,151.51,Expense,Dining Out
164,22-02-2021,805.23,Expense,Coffee
165,22-02-2021,145.17,Income,Freelance
166,22-02-2021,952.96,Expense,Salary
167,23-02-2021,265.09,Income,Entertainment
168,23-02-2021,635.29,Expense,Groceries
169,24-02-2021,208.09,Income,Coffee
170,24-02-2021,562.89,Income,Freelance
171,24-02-2021,335.55,Income,Dining Out
172,24-02-2021,909.8,Income,Coffee
173,24-02-2021,515.16,Expense,Rent
174,25-02-2021,236.8,Expense,Groceries
175,25-02-2021,268.76,Expense,Entertainment
176,25-02-2021,500.92,Expense,Car Maintenance
177,25-02-2021,484.49,Income,Subscriptions
178,26-02-2021,353.16,Income,Coffee
179,27-02-2021,940.91,Income,Bonus
180,27-02-2021,731.87,Income,Freelance
181,27-02-2021,749.07,Income,Entertainment
182,27-02-2021,714.87,Income,Bonus
183,28-02-2021,704.22,Expense,Subscriptions
184,28-02-2021,951.93,Income,Movies
185,01-03-2021,621.65,Expense,Interest
186,01-03-2021,493.02,Income,Transport
187,01-03-2021,37.39,Income,Salary
188,01-03-2021,965.57,Income,Movies
189,01-03-2021,318.26,Expense,Groceries
190,02-03-2021,196.22,Income,Internet Bill
191,02-03-2021,42.96,Expense,Rent
192,02-03-2021,363.49,Expense,Salary
193,02-03-2021,472.0,Expense,Utilities
194,03-03-2021,93.26,Income,Transport
195,03-03-2021,269.62,Income,Car Maintenance
196,03-03-2021,215.72,Income,Shopping
197,04-03-2021,421.87,Expense,Transport
198,04-03-2021,932.12,Expense,Dining Out
199,04-03-2021,280.04,Income,Car Maintenance
200,04-03-2021,946.65,Expense,Utilities
201,05-03-2021,543.07,Income,Entertainment
202,05-03-2021,104.81,Income,Coffee
203,05-03-2021,858.26,Expense,Shopping
204,05-03-2021,939.78,Income,Internet Bill
205,06-03-2021,132.94,Income,Internet Bill
206,06-03-2021,31.06,Expense,Salary
207,06-03-2021,307.79,Expense,Transport
208,07-03-2021,447.76,Income,Bonus
209,07-03-2021,563.66,Expense,Bonus
210,07-03-2021,639.6,Expense,Rent
211,07-03-2021,280.42,Expense,Dining Out
212,07-03-2021,870.41,Expense,Salary
213,08-03-2021,848.11,Expense,Rent
214,08-03-2021,22.38,Expense,Rent
215,09-03-2021,834.16,Income,Entertainment
216,10-03-2021,913.66,Expense,Groceries
217,10-03-2021,615.41,Income,Subscriptions
